"election_month","election_type","office_key","gid","gid_level","glabel","candidate","candidate_major","candidate_party","candidate_party_major","metric_desc","metric"
201611,"general","pr","29047","county","Clay","johnson","johnson","libertarian","libertarian","votes",5155
201611,"general","pr","29049","county","Clinton","johnson","johnson","libertarian","libertarian","votes",434
201611,"general","pr","29051","county","Cole","johnson","johnson","libertarian","libertarian","votes",1377
201611,"general","pr","29053","county","Cooper","johnson","johnson","libertarian","libertarian","votes",306
201611,"general","pr","29055","county","Crawford","johnson","johnson","libertarian","libertarian","votes",224
201611,"general","pr","29057","county","Dade","johnson","johnson","libertarian","libertarian","votes",94
201611,"general","pr","29059","county","Dallas","johnson","johnson","libertarian","libertarian","votes",181
201611,"general","pr","29061","county","Daviess","johnson","johnson","libertarian","libertarian","votes",145
201611,"general","pr","29063","county","De Kalb","johnson","johnson","libertarian","libertarian","votes",178
201611,"general","pr","29065","county","Dent","johnson","johnson","libertarian","libertarian","votes",136
201611,"general","pr","29067","county","Douglas","johnson","johnson","libertarian","libertarian","votes",135
201611,"general","pr","29069","county","Dunklin","johnson","johnson","libertarian","libertarian","votes",142
201611,"general","pr","29071","county","Franklin","johnson","johnson","libertarian","libertarian","votes",1628
201611,"general","pr","29073","county","Gasconade","johnson","johnson","libertarian","libertarian","votes",180
201611,"general","pr","29075","county","Gentry","johnson","johnson","libertarian","libertarian","votes",108
201611,"general","pr","29077","county","Greene","johnson","johnson","libertarian","libertarian","votes",5754
201611,"general","pr","29079","county","Grundy","johnson","johnson","libertarian","libertarian","votes",118
201611,"general","pr","29081","county","Harrison","johnson","johnson","libertarian","libertarian","votes",97
201611,"general","pr","29083","county","Henry","johnson","johnson","libertarian","libertarian","votes",311
201611,"general","pr","29085","county","Hickory","johnson","johnson","libertarian","libertarian","votes",108
201611,"general","pr","29087","county","Holt","johnson","johnson","libertarian","libertarian","votes",66
201611,"general","pr","29089","county","Howard","johnson","johnson","libertarian","libertarian","votes",209
201611,"general","pr","29091","county","Howell","johnson","johnson","libertarian","libertarian","votes",434
201611,"general","pr","29093","county","Iron","johnson","johnson","libertarian","libertarian","votes",110
201611,"general","pr","29095","county","Jackson","johnson","johnson","libertarian","libertarian","votes",7128
201611,"general","pr","29097","county","Jasper","johnson","johnson","libertarian","libertarian","votes",1761
201611,"general","pr","29099","county","Jefferson","johnson","johnson","libertarian","libertarian","votes",3968
201611,"general","pr","29101","county","Johnson","johnson","johnson","libertarian","libertarian","votes",1100
201611,"general","pr",NA,"county","Kansas City","johnson","johnson","libertarian","libertarian","votes",3715
201611,"general","pr","29103","county","Knox","johnson","johnson","libertarian","libertarian","votes",53
201611,"general","pr","29105","county","Laclede","johnson","johnson","libertarian","libertarian","votes",426
201611,"general","pr","29107","county","Lafayette","johnson","johnson","libertarian","libertarian","votes",598
201611,"general","pr","29109","county","Lawrence","johnson","johnson","libertarian","libertarian","votes",472
201611,"general","pr","29111","county","Lewis","johnson","johnson","libertarian","libertarian","votes",127
201611,"general","pr","29113","county","Lincoln","johnson","johnson","libertarian","libertarian","votes",808
201611,"general","pr","29115","county","Linn","johnson","johnson","libertarian","libertarian","votes",172
201611,"general","pr","29117","county","Livingston","johnson","johnson","libertarian","libertarian","votes",213
201611,"general","pr","29121","county","Macon","johnson","johnson","libertarian","libertarian","votes",175
201611,"general","pr","29123","county","Madison","johnson","johnson","libertarian","libertarian","votes",150
201611,"general","pr","29125","county","Maries","johnson","johnson","libertarian","libertarian","votes",110
201611,"general","pr","29127","county","Marion","johnson","johnson","libertarian","libertarian","votes",380
201611,"general","pr","29119","county","McDonald","johnson","johnson","libertarian","libertarian","votes",191
201611,"general","pr","29129","county","Mercer","johnson","johnson","libertarian","libertarian","votes",27
